source,target,value
88,26,1
88,48,1
134,135,1
80,63,1
80,61,1
81,14,1
82,10,1
82,21,1
82,32,1
82,7,1
82,76,1
82,58,1
83,34,1
83,77,1
84,34,1
87,24,1
87,6,1
87,48,1
89,28,1
89,45,1
89,49,1
89,19,1
89,43,1
90,3,1
90,21,1
90,32,1
114,38,1
91,0,1
91,4,1
92,31,1
92,32,1
92,23,1
93,13,1
94,13,1
116,13,1
95,13,1
123,36,1
123,61,1
96,64,1
96,61,1
85,52,1
97,30,1
97,37,1
97,60,1
97,65,1
97,69,1
98,25,1
99,25,1
99,0,1
101,14,1
109,22,1
109,20,1
109,0,1
109,15,1
109,62,1
109,67,1
109,68,1
109,65,1
109,58,1
109,46,1
109,55,1
109,54,1
109,53,1
86,4,1
102,0,1
102,4,1
110,32,1
110,0,1
110,4,1
110,11,1
110,68,1
110,65,1
110,69,1
110,42,1
103,0,1
103,4,1
103,18,1
104,27,1
104,32,1
104,0,1
104,59,1
104,50,1
104,51,1
105,27,1
105,32,1
105,37,1
111,4,1
111,65,1
111,69,1
107,29,1
108,56,1
108,35,1
108,63,1
100,33,1
124,135,1
106,40,1
106,75,1
106,12,1
106,5,1
115,40,1
115,9,1
117,0,1
117,4,1
119,135,1
120,135,1
118,1,1
118,0,1
118,4,1
121,8,1
122,8,1
126,1,1
126,0,1
126,2,1
126,16,1
125,8,1
127,1,1
127,0,1
127,66,1
127,41,1
127,44,1
128,2,1
130,70,1
130,71,1
130,72,1
130,73,1
129,78,1
131,2,1
131,0,1
131,4,1
132,2,1
132,0,1
132,4,1
133,0,1
133,2,1
133,4,1
134,135,1
